2025-06-29 20:48:03 [INFO] [ForgeModLoader] Forge Mod Loader version 6.4.50.1,345 for Minecraft 1.6.4 loading
2025-06-29 20:48:03 [INFO] [ForgeModLoader] Java is Java HotSpot(TM) 64-Bit Server VM, version 1.8.0_202, running on Windows 10:amd64:10.0, installed at C:\Program Files\Java\jre1.8.0_202
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Java classpath at launch is minecraftforge-universal-1.6.4-9.11.1.1345.jar
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Java library path at launch is C:\Program Files\Java\jre1.8.0_202\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files\Python310\Scripts\;C:\Program Files\Python310\;C:\Program Files\ImageMagick-7.1.1-Q16-HDRI;C:\Program Files (x86)\Common Files\Intel\Shared Libraries\redist\intel64\compiler;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files\Neovim\bin;C:\Program Files\dotnet\;C:\Program Files\Common Files\Autodesk Shared\;C:\Program Files\NVIDIA Corporation\NVIDIA app\NvDLISR;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\Git\cmd;C:\Users\OseanMan\AppData\Local\Microsoft\WindowsApps;C:\Users\OseanMan\AppData\Local\Microsoft\WinGet\Links;C:\Users\OseanMan\AppData\Local\atom\bin;C:\Users\OseanMan\AppData\Local\Programs\Microsoft VS Code\bin;.
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Enabling runtime deobfuscation
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Instantiating coremod class FMLCorePlugin
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Enqueued coremod FMLCorePlugin
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Instantiating coremod class FMLForgePlugin
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Enqueued coremod FMLForgePlugin
2025-06-29 20:48:03 [FINE] [ForgeModLoader] All fundamental core mods are successfully located
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Discovering coremods
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Examining for coremod candidacy Backpack-1.28.37-1.6.x.jar
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Not found coremod data in Backpack-1.28.37-1.6.x.jar
2025-06-29 20:48:03 [INFO] [ForgeModLoader] Loading tweak class name cpw.mods.fml.common.launcher.FMLInjectionAndSortingTweaker
2025-06-29 20:48:03 [INFO] [ForgeModLoader] Loading tweak class name cpw.mods.fml.common.launcher.FMLDeobfTweaker
2025-06-29 20:48:03 [INFO] [ForgeModLoader] Calling tweak class cpw.mods.fml.common.launcher.FMLInjectionAndSortingTweaker
2025-06-29 20:48:03 [INFO] [ForgeModLoader] Calling tweak class cpw.mods.fml.common.launcher.FMLInjectionAndSortingTweaker
2025-06-29 20:48:03 [INFO] [ForgeModLoader] Calling tweak class cpw.mods.fml.relauncher.CoreModManager$FMLPluginWrapper
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Injecting coremod FMLCorePlugin {cpw.mods.fml.relauncher.FMLCorePlugin} class transformers
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.AccessTransformer
2025-06-29 20:48:03 [INFO] [STDOUT] Loaded 40 rules from AccessTransformer config file fml_at.cfg
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.MarkerTransformer
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.SideTransformer
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Injection complete
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Running coremod plugin for FMLCorePlugin {cpw.mods.fml.relauncher.FMLCorePlugin}
2025-06-29 20:48:03 [FINE] [ForgeModLoader] Running coremod plugin FMLCorePlugin
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.Block.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockBaseRailLogic.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockButton.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockCactus.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockChest.binpatch
2025-06-29 20:48:03 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockCocoa.binpatch
